name
Lewis Gilbert
Claude Lelouch
Mike Nichols
Robert Wise
Robert Bolt
Robert Anderson
Ernest Lehman
Bill Naughton
William Rose
Elmer Bernstein
Francis Lai
Jerry Goldsmith
Toshirô Mayuzumi
Maurice Jarre
"Strangers In The Night, Bert Kaempfert, Charles Singleton, Eddie Snyder"
"Alfie, Burt Bacharach, Hal David"
"Born Free, John Barry, Don Black"
"Georgy Girl, Tom Springfield, Jim Dale"
"A Man And A Woman, Francis Lai, Pierre Barouh"
Charlton Heston
Camilla Sparv
Candice Bergen
Candice Bergen
Marie Gomez
Lynn Redgrave
Jessica Walter
James Farentino
Antonio Sábato
Alan Arkin
Alan Bates
John Philip Law
I Spy
"Fugitive, The (TV)"
"Man From U.N.C.L.E., The"
Run For Your Life
That Girl
Lynn Redgrave
Vanessa Redgrave
Jane Fonda
Elizabeth Hartman
Shirley MacLaine
Dean Martin
Bill Cosby
Robert Culp
Ben Gazzara
Christopher George
"France, Claude Lelouch"
"France, Israel, Italy, Alex Joffé"
"Italy, Pietro Germi"
"Czechoslovakia, Milos Forman"
"United Soviet Socialist Republics, Grigori Kozintsev"
"United Kingdom, Lewis Gilbert"
"United Kingdom, Paul Czinner"
"United Kingdom, Daniel Petrie"
"United Kingdom, Michelangelo Antonioni"
"United Kingdom, Silvio Narizzano"
"United Kingdom, Karel Reisz"
Julie Andrews
Steve McQueen
Marlo Thomas
Phyllis Diller
Barbara Eden
Elizabeth Montgomery
Barbara Stanwyck
In the Heat of the Night
Bonnie and Clyde
Far From The Madding Crowd
Guess Who's Coming To Dinner
In Cold Blood
"Graduate, The"
Camelot
Doctor Dolittle
"Taming of the Shrew, The"
Thoroughly Modern Millie
Edith Evans
Faye Dunaway
Audrey Hepburn
Katharine Hepburn
Anne Heywood
Rod Steiger
Alan Bates
Warren Beatty
Paul Newman
Spencer Tracy
Sidney Poitier
Richard Harris
Ugo Tognazzi
Richard Burton
Rex Harrison
Dustin Hoffman
Carol Channing
Quentin Dean
Lillian Gish
Lee Grant
Pruenella Ransome
Beah Richards
Richard Attenborough
Efrem Zimbalist Jr.
John Cassavetes
George Kennedy
Michael J. Pollard
Mike Nichols
Norman Jewison
Stanley Kramer
Arthur Penn
Mark Rydell
Stirling Silliphant
Robert Benton
Lewis John Carlino
Buck Henry
William Rose
Frederick Loewe
Leslie Bricusse
Francis Lai
Elmer Bernstein
Henry Mancini
"If Ever I Would Leave You, Frederick Loewe, Alan Jay Lerner"
"Des Ronds dans L'Eau, Raymond Le Sénéchal, Pierre Barouh"
"Please Don't Gamble With Love, Guy Hemric, Jerry Styner"
"Talk To The Animals, Leslie Bricusse"
"Thoroughly Modern Millie, Jimmy Van Heusen, Sammy Cahn"
Kirk Douglas
Katharine Ross
Faye Dunaway
Katharine Houghton
Katharine Ross
Sharon Tate
Greta Baldwin
Pia Degermark
Dustin Hoffman
Oded Kotler
Franco Nero
Michael J. Pollard
Tommy Steele
Mission: Impossible
Garrison's Gorillas
Rowan & Martin's Laugh-In
"Carol Burnett Show, The"
"Dean Martin Show, The"
Anne Bancroft
Julie Andrews
Audrey Hepburn
Shirley MacLaine
Vanessa Redgrave
Martin Landau
Brendon Boone
Ben Gazzara
Dean Martin
Andy Williams
"France, Claude Lelouch"
"Italy, France, Pietro Germi"
"Czechoslovakia, Jirí Menzel"
"Sweden, Bo Widerberg"
"Italy, France, Luchino Visconti"
"Canada, Mark Rydell"
"United Kingdom, Joseph Losey"
"United Kingdom, Michael Winner"
"United Kingdom, Desmond Davis"
"United Kingdom, Joseph Strick"
"United Kingdom, Bryan Forbes"
Julie Andrews
Paul Newman
Carol Burnett
Barbara Bain
Lucille Ball
Nancy Sinatra
Barbara Stanwyck
The Lion in Winter
Charly
"Fixer, The"
"Heart Is a Lonely Hunter, The"
"Shoes of the Fisherman, The"
Oliver!
Funny Girl
Finian's Rainbow
"Odd Couple, The (1968)"
