Thomas Hornsby
Giovanni Pighizzini
Francis Skinner
Steve Shnider
Édouard Goursat
Ivan Pervushin
Alexis Vasseur
Samuel S. Wagstaff Jr.
Mary L. Boas
Stan van Hoesel
Lipman Bers
Richard Arenstorf
José Sebastião e Silva
A. W. F. Edwards
William John Dundas
Abe Gelbart
Rolando Chuaqui
Doug Altman
Leonard Henry Caleb Tippett
Tullio Levi-Civita
Alexander Dewdney
Aleksandr Gennadievich Kurosh
Victor S. Miller
Frank Adams
Johan Ludvig Heiberg (historian)
Einar Hille
Carl Theodor Anger
Vernor Vinge
Johannes de Sacrobosco
Solomon Kullback
Maria Angela Ardinghelli
Franz Breisig
Esprit Jouffret
Alexander Dinghas
Jean-Victor Poncelet
David Eppstein
Argelia Velez-Rodriguez
Florian Luca
George William Morgenthaler
Léon-François-Antoine Aurifeuille
Ross Honsberger
Eric de Sturler
Peter Salamon
Alain Badiou
Endre Szemerédi
Lakkoju Sanjeevaraya Sharma
Jean-Pierre Eckmann
Maurice Lévy
Rinad Yulmukhametov
Alice Bache Gould
Vladimir Boltyansky
Eutocius of Ascalon
Aubrey Jaffer
Achille Brocot
Mireille Bousquet-Mélou
Ian G. Enting
James Whitbread Lee Glaisher
Katsuya Eda
Joseph H. Silverman
Pingala
Eduard Heis
Evelyn Fix
Rūsiņš Mārtiņš Freivalds
Benjamin Gompertz
Percey F. Smith
Richard D. Gill
Otto Haupt
Teruhisa Matsusaka
Paul Dirac
Marcel Brillouin
Ciprian Manolescu
Leon O. Chua
James B. Carrell
Ross Ihaka
Jonathan Rosenberg 
Charles Castonguay
Anil Nerode
Lassi Päivärinta
John Barrow (historian)
Erasmus Reinhold
Jan Koenderink
Klaus Wagner
Lizhen Ji
Asad Naqvi
Norbert A’Campo
David Sayre
Edoardo Vesentini
Peter C. Fishburn
Rizvan Pashayev
Brian Swimme
Jan Rajewski
Arthur Preston Mellish
Michael Aizenman
Alejandro Adem
Christopher Zeeman
"Nicholas M. Smith, Jr."
Hugo Steinhaus
Peter Cameron 
Paulette Libermann
Glenn F. Webb
Hiraku Nakajima
Mahāvīra 
Robert Creighton Buck
Julian Sochocki
Johann Wilhelm Andreas Pfaff
Joachim Lambek
Al-Isfizari
Daniel Gorenstein
Michael D. Fried
Narayana Pandit
Lajos Pósa 
Dwight Barkley
Tsuneo Tamagawa
Kate Bellingham
Irene Fischer
Guillaume Le Blond
Silvo Breskvar
Daniel Abibi
Xhezair Teliti
Pierre Bardin
Bernd Siebert
Reinhardt Kiehl
Peter Richtarik
Jin Akiyama
Pierre Bouguer
Sylvia Wiegand
Oskar Sandberg
Henri Villat
Elizabeth Scott 
Hubert Anson Newton
Cleomedes
Tommaso Ceva
Michael O. Rabin
Alexander Abercrombie
James Franklin (philosopher)
Chitikila Musili
Steven Brams
Yakov Pesin
Juan Bermudo
Emil Müller 
William Goldman 
Peter Killworth
Greg Hjorth
Charles Hayes 
Joseph Dauben
Lev Ponomaryov
E. Morton Jellinek
Theodor Reye
Philip Franklin
Eric Schadt
Leslie Howarth
Marcel Guénin
Nicolaas Govert de Bruijn
Richard F. Bass
William Gemmell Cochran
Harry Dym
Amie Wilkinson
Xuejia Lai
David E. Rowe
Henrik Palmstrøm
Kunihiko Kodaira
Adi Shamir
Stephen Hawking
"Andrey Markov, Jr."
Richard K. Guy
Olivier Guéant
Yusnier Viera
Johan Wästlund
Caius Iacob
Sergey Fomin
Shiu-Yuen Cheng
Henri Lebesgue
Frances A. Rosamond
John H. Palmieri
Ernst Jacobsthal
Yair Minsky
Roger Carter 
Antonio Maria Bordoni
Friedrich Wilhelm Schäfke
Lawrence Crawford 
Alexei Kostrikin
Anna Zofia Krygowska
Hidehiko Yamabe
Rebecca A. Herb
André Fortin 
Steven J. Miller
Sujatha Ramdorai
Paul Ernest
George Uhlenbeck
Thomas Murray MacRobert
Ole Peder Arvesen
V. Ramaswamy Aiyer
George Adolphus Schott
