name
Athar Ali Khan
Athol Matthew Burchell Rowan
Atholl Henry McKinnon
Maitipage Athula Rohitha Samarasekera
Atif Rauf
Atiq-uz-Zaman
Atse Folkert Buurman
Atul Chandrakant Bedade
Atul Satish Wassan
George Aubrey Faulkner
Charles Aubrey Smith
Audley Montague Miller
Austin Codrington
Austin David George Matthews
Austin Conroy Lenroy Richards
Dihan Avishka Gunawardene
Awais Zia
Mohammad Azam Khan
Raja Azeem Hafeez
Azeem Ryan Pitcher
Azeem Rafiq
Azhar Ali
Mohammad Azhar Hossain
Mohammad Azhar Khan
Azhar Mahmood Sagar
Syed Azhar Saeed
Azmat Rana
Babar Hayat
Mohammed Ahmed Meman
Hemchandra Tukaram Dani
Wandavasi Dorakanti Balaji Rao
Balkrishna Pandharinath Gupte
Balwinder Singh Sandhu
Bandula Warnapura
Rameshchandra Gangaram Nadkarni
Mohammad Baqa Khan Jilani
William Carkeek
Barney Guy Rogers
Barrington St Aubyn Browne
Barry George Hadlee
Barrington Noel Jarman
Barry Rolfe Knight
Barry Douglas Milburn
Barry Anderson Richards
Barry Benjamin Seebaran
Barry Kenneth Shepherd
Barry Whitley Sinclair
Barry Wood
Edward Lawson Bartlett
Bastiaan Zuiderent
Basanta Regmi
Basil Fitzherbert Butcher
Basil Lewis D'Oliveira
Basil Arthur Firebrace Grieve
Alvadon Basil Williams
Basit Ali
Bazid Khan
Beau Casson
Benjamin Arthur Barnett
Benjamin Nicolas Cooper
Benjamin Colin James Cutting
Benjamin William Hilfenhaus
Benjamin Caine Hollioake
Ben Laughlin
Ben James Phillips
Ben James Rohrer
Benjamin James Sealey
Benjamin Andrew Stokes
Berend Arnold Westdijk
Berkeley Bertram McGarrell Gaskin
Bernard James Tindal Bosanquet
Bernard Denis Julien
Bernardus Pieters Loots
Augustus Bernard Tancred
Albert John Young Hopkins
Herbert Ironmonger
William Albert Stanley Oldfield
Herbert Strudwick
Bert Sutcliffe
Carlos Bertram Clarke
Beuran Eric Hendricks
Bevan Ernest Congdon
Bevan Barry John Griggs
Bhagwat Subramanya Chandrasekhar
Bharathi Arun
Bharath Reddy
Bhupinder Singh
Bhuvneshwar Kumar Singh
James Henry Anderson
Bilawal Bhatti
Charles William Jeffrey Athey
William Bell
William Eric Bowes
Walter Morris Bradley
William Brockwell
William Alfred Brown
William Henry Copson
William John Edrich
William Farrimond
John William Hitch
William Peter Howell
William Alfred Hunt
William Arras Johnston
William Morris Lawry
William Henry Lockwood
Eric Balfour Lundie
William Edward Merritt
William Joseph O'Reilly
William Rodger Playle
William Harold Ponsford
William Storer
William Voce
William James Watson
William James Whitty
William Maldon Woodfull
William Barnes
Willie Bates
William Hughes Bowker Frank
Stewart Cathie Griffith
William Gunn
Khalid Ibadulla
William Evans Midwinter
William Lloyd Murdoch
William Newham
William Frederick Stelling
Walter Wareham Wade
Johan Wilhelm Zulch
Binod Bhandari
Bishan Singh Bedi
Bradley-John Watling
Bjorn Leo Kotze
Blair Robert Hartland
Blair Andrew Pocock
Ngonidzashe Blessing Mahwire
Robert Appleyard
Robert William Barber
Robert Berry
Robert William Blair
Robert Hector Catterall
Robert Michael Henry Cottam
Robert Maskew Cowper
Robert James Crisp
Robert Smith Cunis
Robert George Holland
Robert Arnold Lockyer Massie
Robert William McLeod
Edward Serrurier Newson
Robert Baddeley Simpson
Robert William Taylor
Robert George Dylan Willis
Robert Andrew Woolmer
Robert Elliott Storey Wyatt
Robert Abel
Robert Peel
